date,Revenue,EBIT,CapEx,TotalAssets,TotalDebt
2015-07-26,,1270000000,164000000.0,13153000000.0,1947000000.0
2015-10-25,,1693000000,215000000.0,15308000000.0,4542000000.0
2016-01-31,,354000000,68000000.0,13326000000.0,3343000000.0
2016-05-01,,779000000,115000000.0,13075000000.0,3343000000.0
2016-07-31,,1375000000,165000000.0,13699000000.0,3343000000.0
2016-10-30,10825000000.0,2152000000,253000000.0,14588000000.0,3125000000.0
2017-01-29,3278000000.0,807000000,64000000.0,15244000000.0,3325000000.0
2017-04-30,3546000000.0,940000000,141000000.0,18240000000.0,5502000000.0
2017-07-30,3744000000.0,1023000000,221000000.0,19078000000.0,5303000000.0
2017-10-29,14537000000.0,3868000000,345000000.0,19419000000.0,5304000000.0
2018-01-28,4204000000.0,1215000000,203000000.0,19663000000.0,5305000000.0
2018-04-29,4567000000.0,1292000000,324000000.0,18498000000.0,5306000000.0
2018-07-29,4162000000.0,1093000000,457000000.0,17883000000.0,5308000000.0
2018-10-28,4014000000.0,4796000000,622000000.0,17773000000.0,5309000000.0
2019-01-27,3753000000.0,908000000,133000000.0,18922000000.0,
2019-04-28,7292000000.0,776000000,251000000.0,18775000000.0,
2019-07-28,3562000000.0,802000000,344000000.0,18805000000.0,
2019-10-27,3754000000.0,3350000000,441000000.0,19024000000.0,5313000000.0
2020-01-26,4162000000.0,1042000000,102000000.0,19767000000.0,5314000000.0
2020-04-26,3957000000.0,932000000,173000000.0,21815000000.0,
2020-07-26,12514000000.0,1108000000,260000000.0,21171000000.0,
2020-10-25,,4365000000,422000000.0,22353000000.0,5448000000.0
2021-01-31,5162000000.0,1283000000,121000000.0,23305000000.0,
2021-05-02,,1579000000,325000000.0,24085000000.0,
2021-08-01,,2013000000,462000000.0,24479000000.0,
2021-10-31,,6889000000,668000000.0,25825000000.0,
2022-01-30,,1976000000,144000000.0,25428000000.0,
2022-05-01,,1894000000,354000000.0,25459000000.0,
2022-07-31,,1924000000,564000000.0,26161000000.0,
2022-10-30,,7788000000,787000000.0,26726000000.0,
2023-01-29,,1970000000,287000000.0,27959000000.0,
2023-04-30,,1911000000,542000000.0,29092000000.0,
2023-07-30,,1802000000,797000000.0,30410000000.0,
2023-10-29,,7654000000,1106000000.0,30729000000.0,
2024-01-28,,1967000000,229000000.0,31540000000.0,
2024-04-28,,1912000000,486000000.0,31949000000.0,
2024-07-28,,1942000000,783000000.0,33647000000.0,
2024-10-27,,7867000000,1190000000.0,34409000000.0,
2025-01-26,,2175000000,381000000.0,33338000000.0,
2025-04-27,,2169000000,891000000.0,33632000000.0,
