,revenue_growth_1y,revenue_growth_2y,ebit_margin,capex_pct_revenue,terminal_growth_proxy
2015-06-30,-0.036630943246788616,-0.30904772709153894,0.104546692077321,0.04262059748038512,
2015-09-30,2.0,0.7133385671381922,0.18781120331950207,0.13848547717842324,
2015-12-31,-0.022289915709374775,-0.01604484382942073,0.17781957646713398,0.04378463684075311,
2016-03-31,-0.028312995076000824,0.010329862555321867,0.05534146863626632,0.05116677371012631,
2016-06-30,-0.5,-0.2831233838168501,0.07833414690542867,0.04691313619196876,
2016-09-30,-0.026690054859068946,-0.00274672569820944,0.1263134361725911,0.044609537567284044,
2016-12-31,-0.009759881880403887,-0.0020541875719907177,0.1542812097248464,0.04463269059923172,
2017-03-31,0.05050950151473432,0.0007433205425733114,0.07843569264665382,0.04076012117873864,
2017-06-30,0.03701591580693653,-0.003323475983904367,0.12665249624138109,0.07387630255586085,
2017-09-30,0.02178560701097232,-0.010899193370457083,0.12246232132445183,0.040161139283000864,
2017-12-31,0.005711469692566196,-0.1460247021292823,0.1440503418036619,0.04080162751614248,
2018-03-31,-0.046665268456375864,-0.040157180443051166,0.05956375838926174,0.045616610738255035,
2018-06-30,-0.04209368594710794,0.3358264614648594,0.19552067189921513,0.09003649452582113,
2018-09-30,-0.04253847484004847,-0.44895678456132315,0.0518070205775549,0.04518416047034411,
2018-12-31,-0.27486776143031244,-0.16736448326243358,0.14250354939628854,0.042655576635549246,
2019-03-31,-0.03360466395336048,-0.14836759853647663,0.10356396436035639,0.02964470355296447,0.1
2019-06-30,0.8628464067637389,0.37969347836900114,0.24273263399613798,0.05855644277438547,0.1
2019-09-30,-0.5,-0.5,0.027487809283005236,0.030883149720065017,0.0
2019-12-31,-0.04392348476972663,-0.0031584689207883043,0.12485705374779082,0.03960910697577711,0.0
2020-03-31,-0.24950202037448066,-0.10112344763046044,-0.002788685902908201,0.035854533037391154,0.0
2020-06-30,0.02185241217011269,-0.08732857694357965,0.042640219644758226,0.0340393343419062,0.04180409245185585
2020-09-30,-0.24538724373576315,-0.10369653080899721,0.10404328018223234,0.11047835990888383,0.0
2020-12-31,0.03934467822903631,0.0473658857217627,0.08403559325105565,0.04744558618314939,0.0
2021-03-31,0.07659058163342691,0.03959672752504928,0.06862819443391219,0.03746113596724046,0.0
2021-06-30,-0.1848439984646597,-0.09721601831604854,0.025004112518506334,0.028897296704501838,0.0
2021-09-30,0.06459889819636255,0.055118225532727605,0.06135386008603124,0.12165119613614067,0.0
2021-12-31,0.05544899738448117,0.038575914535299516,0.08434176111595466,0.03595466434176112,0.0
2022-03-31,0.0038740578995561936,0.009289807406289707,0.04388251038951891,0.01979291399591463,0.0
2022-06-30,-0.00016816897618732174,-0.2717109427605966,0.057917395398896815,0.02085295304722185,0.0
2022-09-30,0.0457219819947543,0.03006481808353345,-0.11539944708300844,0.0664209257815269,0.0
2022-12-31,0.02197257558235588,0.01819722579479821,0.01909796794977697,0.02223690731868495,0.0
2023-03-31,0.014734774066797574,0.01008804355835502,0.0742351950603424,0.021049677238282348,0.0
2023-06-30,-0.46950583644498267,0.0,0.0672789046994315,0.022336596360211257,0.0
2023-09-30,0.014642082429501047,0.0,0.33425976138828634,0.06405911062906725,0.0
2023-12-31,0.014435822825735523,0.0,0.14047849983834465,0.020126091173617848,0.0
2024-03-31,0.005462591619416424,0.0,0.07426358733231918,0.01652606831696861,0.0
2024-06-30,,0.0,0.14071020925808497,0.029105897273303743,0.0
2024-09-30,,0.0,-0.05358097274184928,0.04977284874398717,0.0
2024-12-31,,0.0,0.09237805363886986,0.016700396793778785,0.0
2025-03-31,,0.0,0.07963688879719415,0.016780138917543496,0.0
