date,Revenue,EBIT,CapEx,TotalAssets,TotalDebt,PretaxIncome,TaxProvision,InterestExpense
2015-06-30,40403000000,4224000000.0,1722000000.0,112729000000.0,37265000000.0,4224000000.0,698000000,115000000
2015-09-30,19280000000,3621000000.0,2670000000.0,108649000000.0,37407000000.0,3621000000.0,1943000000,117000000
2015-12-31,81741000000,15945000000.0,3579000000.0,110495000000.0,38699000000.0,15945000000.0,2581000000,468000000
2016-03-31,18684000000,1034000000.0,956000000.0,118856000000.0,45254000000.0,1034000000.0,-983000000,147000000
2016-06-30,38923000000,3049000000.0,1826000000.0,118056000000.0,44224000000.0,3049000000.0,544000000,167000000
2016-09-30,58149000000,7345000000.0,2594000000.0,115606000000.0,42124000000.0,7345000000.0,-31000000,473000000
2016-12-31,79919000000,12330000000.0,3567000000.0,117470000000.0,40893000000.0,12330000000.0,449000000,630000000
2017-03-31,18155000000,1424000000.0,740000000.0,117495000000.0,42498000000.0,1424000000.0,-329000000,135000000
2017-06-30,19289000000,2443000000.0,1425000000.0,120495000000.0,45446000000.0,2443000000.0,111000000,147000000
2017-09-30,56597000000,6931000000.0,2273000000.0,121636000000.0,45218000000.0,6931000000.0,120000000,451000000
2017-12-31,79139000000,11400000000.0,3229000000.0,125356000000.0,45052000000.0,11400000000.0,5642000000,615000000
2018-03-31,19072000000,1136000000.0,870000000.0,125285000000.0,44168000000.0,1136000000.0,-540000000,165000000
2018-06-30,20003000000,3911000000.0,1801000000.0,121622000000.0,43298000000.0,3911000000.0,373000000,173000000
2018-09-30,57830000000,2996000000.0,2613000000.0,121990000000.0,42762000000.0,2996000000.0,138000000,530000000
2018-12-31,79591000000,11342000000.0,3395000000.0,123382000000.0,42656000000.0,11342000000.0,2619000000,723000000
2019-03-31,18182000000,1883000000.0,539000000.0,130926000000.0,46833000000.0,1883000000.0,289000000,210000000
2019-06-30,19161000000,4651000000.0,1122000000.0,154652000000.0,64975000000.0,4651000000.0,558000000,348000000
2019-09-30,55370000000,1522000000.0,1710000000.0,149620000000.0,62944000000.0,1522000000.0,-151000000,432000000
2019-12-31,57714000000,7206000000.0,2286000000.0,152186000000.0,,7206000000.0,60000000,1344000000
2020-03-31,17571000000,-49000000.0,630000000.0,153403000000.0,,-49000000.0,-1226000000,326000000
2020-06-30,35694000000,1522000000.0,1215000000.0,154200000000.0,,1522000000.0,-1017000000,323000000
2020-09-30,17560000000,1827000000.0,1940000000.0,154128000000.0,,1827000000.0,-888000000,323000000
2020-12-31,55179000000,4637000000.0,2618000000.0,155971000000.0,,4637000000.0,-1360000000,1288000000
2021-03-31,13187000000,905000000.0,494000000.0,148629000000.0,,905000000.0,-160000000,280000000
2021-06-30,36474000000,912000000.0,1054000000.0,146814000000.0,,912000000.0,227000000,281000000
2021-09-30,13251000000,813000000.0,1612000000.0,144214000000.0,,813000000.0,-282000000,852000000
2021-12-31,57350000000,4837000000.0,2062000000.0,132001000000.0,,4837000000.0,124000000,1155000000
2022-03-31,14197000000,623000000.0,281000000.0,133275000000.0,,623000000.0,-39000000,311000000
2022-06-30,29732000000,1722000000.0,620000000.0,127503000000.0,,1722000000.0,218000000,607000000
2022-09-30,14107000000,-2156000000.0,937000000.0,125850000000.0,,-2156000000.0,-1070000000,903000000
2022-12-31,60530000000,1156000000.0,1346000000.0,127243000000.0,,1156000000.0,-626000000,1216000000
2023-03-31,14252000000,1058000000.0,300000000.0,133637000000.0,,1058000000.0,124000000,367000000
2023-06-30,29727000000,2000000000.0,664000000.0,132213000000.0,,2000000000.0,543000000,790000000
2023-09-30,14752000000,4931000000.0,945000000.0,129321000000.0,,4931000000.0,159000000,412000000
2023-12-31,61860000000,8690000000.0,1245000000.0,135241000000.0,,8690000000.0,1176000000,1607000000
2024-03-31,14462000000,1074000000.0,239000000.0,137169000000.0,62871000000.0,1074000000.0,-502000000,432000000
2024-06-30,15770000000,2219000000.0,459000000.0,133848000000.0,59839000000.0,2219000000.0,389000000,427000000
2024-09-30,14968000000,-802000000.0,745000000.0,134339000000.0,60126000000.0,-802000000.0,-485000000,429000000
2024-12-31,62753000000,5797000000.0,1048000000.0,137175000000.0,58396000000.0,5797000000.0,-218000000,1712000000
2025-03-31,14541000000,1158000000.0,244000000.0,145667000000.0,66835000000.0,1158000000.0,103000000,455000000
