,Revenue,EBIT,TotalAssets,TotalDebt,PretaxIncome,TaxProvision,InterestExpense
2015-06-30,,8377000000.0,2449098000000.0,,8377000000.0,2087000000.0,3718000000.0
2015-09-30,,6730000000.0,2416635000000.0,,6730000000.0,89410000.0,1815000000.0
2015-12-31,93543000000.0,30702000000.0,2351698000000.0,,30702000000.0,6260000000.0,7463000000.0
2016-03-31,93543000000.0,7578000000.0,2423808000000.0,,7578000000.0,2058000000.0,2172000000.0
2016-06-30,94551666666.66667,9340000000.0,2466096000000.0,,9340000000.0,3140000000.0,2466000000.0
2016-09-30,95560333333.33333,25857000000.0,2521029000000.0,,25857000000.0,7851000000.0,2467000000.0
2016-12-31,96569000000.0,34536000000.0,2490972000000.0,,34536000000.0,9803000000.0,9818000000.0
2017-03-31,96569000000.0,8341000000.0,2546290000000.0,,8341000000.0,1893000000.0,2978000000.0
2017-06-30,97947666666.66667,9749000000.0,2563174000000.0,,9749000000.0,2720000000.0,3442000000.0
2017-09-30,99326333333.33333,27646000000.0,2563074000000.0,,27646000000.0,7437000000.0,3889000000.0
2017-12-31,100705000000.0,35900000000.0,2533600000000.0,,35900000000.0,11459000000.0,14275000000.0
2018-03-31,100705000000.0,10662000000.0,2609785000000.0,,10662000000.0,1950000000.0,4383000000.0
2018-06-30,103397666666.66667,21234000000.0,2590050000000.0,,21234000000.0,2256000000.0,5081000000.0
2018-09-30,106090333333.33333,10689000000.0,2615183000000.0,,10689000000.0,6515000000.0,5932000000.0
2018-12-31,108783000000.0,40764000000.0,2622532000000.0,,40764000000.0,8290000000.0,22383000000.0
2019-03-31,108783000000.0,11233000000.0,2737188000000.0,,11233000000.0,2054000000.0,6936000000.0
2019-06-30,110988333333.33333,22575000000.0,2727379000000.0,,22575000000.0,1690000000.0,7205000000.0
2019-09-30,113193666666.66667,11405000000.0,2764661000000.0,,11405000000.0,2325000000.0,21034000000.0
2019-12-31,115399000000.0,44866000000.0,2687379000000.0,,44866000000.0,8435000000.0,26795000000.0
2020-03-31,115399000000.0,4108160000.0,3138530000000.0,,4108160000.0,345000000.0,4722000000.0
2020-06-30,116916333333.33333,5660000000.0,3212643000000.0,,5660000000.0,973000000.0,2259000000.0
2020-09-30,118433666666.66667,11769000000.0,3245061000000.0,,11769000000.0,2218000000.0,8668000000.0
2020-12-31,119951000000.0,35815000000.0,3384757000000.0,,35815000000.0,6684000000.0,9960000000.0
2021-03-31,119951000000.0,17697000000.0,3689336000000.0,,17697000000.0,3397000000.0,1382000000.0
2021-06-30,120517000000.0,15097000000.0,3684256000000.0,,15097000000.0,3149000000.0,1364310000.0
2021-09-30,121083000000.0,14111000000.0,3757576000000.0,,14111000000.0,8970000000.0,4135000000.0
2021-12-31,121649000000.0,59562000000.0,3743567000000.0,,59562000000.0,11228000000.0,5553000000.0
2022-03-31,121649000000.0,10063000000.0,3954687000000.0,,10063000000.0,1781000000.0,1624000000.0
2022-06-30,123997666666.66667,10865000000.0,3841314000000.0,,10865000000.0,3997000000.0,3518000000.0
2022-09-30,126346333333.33333,12001000000.0,3773884000000.0,,12001000000.0,6261000000.0,13235000000.0
2022-12-31,128695000000.0,46166000000.0,3665743000000.0,,46166000000.0,8490000000.0,26097000000.0
2023-03-31,128695000000.0,15967000000.0,3744305000000.0,,15967000000.0,3345000000.0,16293000000.0
2023-06-30,138498000000.0,17586000000.0,3868240000000.0,,17586000000.0,6459000000.0,19865000000.0
2023-09-30,148301000000.0,50286000000.0,3898333000000.0,,50286000000.0,3582000000.0,21830000000.0
2023-12-31,158104000000.0,61612000000.0,3875393000000.0,,61612000000.0,12060000000.0,60055859999.99997
2024-03-31,41908000000.0,17293000000.0,4090727000000.0,442140000000.0,17293000000.0,3874000000.0,24356000000.0
2024-06-30,42068000000.0,23435000000.0,4143003000000.0,441336000000.0,23435000000.0,5286000000.0,24356000000.0
2024-09-30,42656000000.0,16978000000.0,4210048000000.0,460795000000.0,16978000000.0,4080000000.0,24356000000.0
2024-12-31,177556000000.0,69828090000.0,4002814000000.0,454311000000.0,69828090000.0,14835499999.999998,24356000000.0
2025-03-31,45327000000.0,18408000000.0,4357856000000.0,472204000000.0,18408000000.0,3765000000.0,24356000000.0
